,Date,Low,High,Close,Open
705,2002-08-23,94.15,96.15,94.6,96.01
704,2002-08-22,95.07,97.15,96.68,95.49
703,2002-08-21,93.57,95.78,95.75,95.06
702,2002-08-20,93.62,95.4,94.39,94.82
701,2002-08-19,93.1,95.75,95.4,93.46
700,2002-08-16,92.0,94.08,93.22,92.82
699,2002-08-15,92.2,93.99,93.5,92.84
698,2002-08-14,88.02,92.63,92.22,89.02
697,2002-08-13,88.65,91.66,88.97,90.15
696,2002-08-12,89.55,91.27,90.62,89.99
695,2002-08-09,89.35,91.94,91.29,90.1
694,2002-08-08,87.8,91.1,90.95,88.42
693,2002-08-07,85.77,88.5,88.1,87.87
692,2002-08-06,85.11,87.9,86.59,85.23
691,2002-08-05,83.55,86.93,83.77,86.49
690,2002-08-02,85.62,88.91,86.79,88.5
689,2002-08-01,88.33,91.35,88.78,90.88
688,2002-07-31,89.25,91.55,91.16,90.49
687,2002-07-30,88.72,91.4,90.94,89.32
686,2002-07-29,87.3,90.34,89.77,87.5
685,2002-07-26,83.8,85.93,85.6,84.65
684,2002-07-25,81.6,85.85,84.0,84.27
683,2002-07-24,77.68,85.12,84.72,78.13
682,2002-07-23,79.75,83.24,79.95,82.55
681,2002-07-22,81.45,85.91,82.2,84.1
680,2002-07-19,84.3,87.55,84.71,86.76
679,2002-07-18,87.75,91.1,87.8,90.7
678,2002-07-17,89.75,93.3,90.74,92.46
677,2002-07-16,89.87,92.38,90.56,91.12
676,2002-07-15,87.89,92.4,92.34,91.64
675,2002-07-12,91.52,93.89,91.85,93.33
674,2002-07-11,90.32,93.35,92.87,91.76
673,2002-07-10,92.04,96.07,92.12,96.0
672,2002-07-09,95.01,98.34,95.6,97.73
671,2002-07-08,97.56,99.7,98.07,98.98
670,2002-07-05,96.66,99.53,99.31,96.78
669,2002-07-03,93.72,95.84,95.51,94.62
668,2002-07-02,94.77,97.2,94.97,96.86
667,2002-07-01,96.89,99.8,97.03,99.18
666,2002-06-28,98.88,100.5,98.96,99.24
665,2002-06-27,96.57,99.49,99.43,98.5
664,2002-06-26,95.19,98.15,97.72,95.2
663,2002-06-25,97.54,100.89,97.56,100.3
662,2002-06-24,97.25,100.69,99.8,98.61
661,2002-06-21,98.68,100.93,99.28,100.47
660,2002-06-20,100.96,103.05,101.21,102.26
659,2002-06-19,102.24,104.43,102.52,103.5
658,2002-06-18,103.63,105.03,104.97,103.74
657,2002-06-17,101.85,104.34,104.12,101.92
656,2002-06-14,98.5,101.56,101.4,100.31
655,2002-06-13,101.34,103.0,101.55,102.13
654,2002-06-12,100.78,102.81,102.58,101.71
653,2002-06-11,101.73,104.54,101.96,104.13
652,2002-06-10,103.02,104.46,103.74,103.24
651,2002-06-07,101.72,103.92,103.34,101.78
650,2002-06-06,103.15,105.6,103.46,105.54
649,2002-06-05,104.35,105.67,105.61,104.95
648,2002-06-04,103.55,105.2,104.63,104.15
647,2002-06-03,104.13,107.6,104.37,107.09
646,2002-05-31,106.85,108.56,107.22,107.4
645,2002-05-30,105.9,107.51,107.0,106.55
644,2002-05-29,107.13,108.02,107.3,107.62
643,2002-05-28,107.45,109.13,108.1,109.05
642,2002-05-24,108.61,110.2,108.69,109.98
641,2002-05-23,108.48,110.36,110.1,109.26
640,2002-05-22,108.0,109.12,108.94,108.22
639,2002-05-21,108.32,110.48,108.7,110.11
638,2002-05-20,109.49,110.69,109.7,110.64
637,2002-05-17,110.1,111.25,110.9,110.66
636,2002-05-16,109.33,110.48,110.36,109.7
635,2002-05-15,109.29,110.91,109.79,109.5
634,2002-05-14,109.0,110.37,110.22,109.62
633,2002-05-13,105.79,107.95,107.87,106.22
632,2002-05-10,105.6,108.05,105.72,107.97
631,2002-05-09,107.58,109.1,107.75,108.65
630,2002-05-08,106.79,109.36,109.01,107.05
629,2002-05-07,104.9,106.32,105.1,106.1
628,2002-05-06,105.31,107.99,105.47,107.64
627,2002-05-03,107.2,108.76,107.58,108.6
626,2002-05-02,107.78,109.91,108.76,109.1
625,2002-05-01,106.8,109.25,109.18,107.97
624,2002-04-30,106.64,108.64,107.86,107.02
623,2002-04-29,106.63,108.26,106.86,107.93
622,2002-04-26,107.29,110.01,107.39,109.79
621,2002-04-25,108.72,109.74,109.47,109.21
620,2002-04-24,109.4,111.81,109.41,110.56
619,2002-04-23,110.17,111.48,110.52,111.09
618,2002-04-22,110.84,112.43,111.0,112.38
617,2002-04-19,112.56,113.24,112.88,113.2
616,2002-04-18,111.15,113.46,112.47,112.9
615,2002-04-17,112.6,113.67,112.96,113.39
614,2002-04-16,111.67,113.32,113.2,111.7
613,2002-04-15,110.2,111.86,110.57,111.62
612,2002-04-12,110.04,111.65,111.42,111.02
611,2002-04-11,110.5,113.05,110.59,112.89
610,2002-04-10,112.09,113.54,113.41,112.1
609,2002-04-09,111.93,113.18,112.14,113.18
608,2002-04-08,111.23,113.03,112.93,111.32
607,2002-04-05,112.18,113.63,112.69,113.19
606,2002-04-04,112.23,113.4,112.67,112.6
605,2002-04-03,112.16,114.21,113.14,114.01
604,2002-04-02,113.77,114.95,113.94,113.98
603,2002-04-01,113.5,115.1,114.57,114.23
602,2002-03-28,114.5,115.77,114.52,114.97
601,2002-03-27,113.76,115.01,114.57,114.03
600,2002-03-26,113.47,115.02,114.27,113.52
599,2002-03-25,113.3,115.36,113.61,115.09
598,2002-03-22,114.7,115.94,115.04,115.5
597,2002-03-21,114.12,115.9,115.29,115.3
596,2002-03-20,115.19,116.58,115.24,116.5
595,2002-03-19,116.82,117.74,117.45,117.3
594,2002-03-18,116.1,117.56,116.67,117.1
593,2002-03-15,115.9,116.95,116.65,115.97
592,2002-03-14,115.63,116.43,115.88,116.04
591,2002-03-13,115.64,116.75,116.04,116.63
590,2002-03-12,115.94,117.25,117.17,116.1
589,2002-03-11,116.43,117.9,117.24,116.89
588,2002-03-08,116.48,117.9,116.99,117.38
587,2002-03-07,115.57,117.5,116.5,117.36
586,2002-03-06,115.07,117.15,116.75,115.1
585,2002-03-05,114.97,116.4,115.38,115.33
584,2002-03-04,113.65,115.99,115.75,113.9
583,2002-03-01,111.51,113.85,113.74,111.72
582,2002-02-28,111.03,112.75,111.15,111.83
581,2002-02-27,110.65,112.86,111.65,111.96
580,2002-02-26,110.57,112.04,111.22,111.6
579,2002-02-25,109.7,111.81,111.45,109.74
578,2002-02-22,107.87,109.94,109.64,108.35
577,2002-02-21,108.26,110.63,108.3,109.93
576,2002-02-20,107.82,110.59,110.59,109.05
575,2002-02-19,108.61,110.29,108.76,110.15
574,2002-02-15,110.71,112.24,110.89,112.15
573,2002-02-14,111.59,112.97,112.06,112.51
572,2002-02-13,111.35,112.54,112.27,111.48
571,2002-02-12,110.03,111.71,111.09,110.96
570,2002-02-11,109.82,111.64,111.44,110.05
569,2002-02-08,108.3,110.75,110.09,108.63
568,2002-02-07,108.0,109.86,108.02,108.72
567,2002-02-06,108.06,109.74,108.7,109.65
566,2002-02-05,108.53,110.49,109.17,109.4
565,2002-02-04,109.44,112.23,109.85,112.23
564,2002-02-01,112.17,113.3,112.65,113.09
563,2002-01-31,111.62,113.3,113.18,112.15
562,2002-01-30,108.4,113.39,111.87,110.39
561,2002-01-29,110.05,114.13,110.28,113.85
560,2002-01-28,112.92,114.19,113.86,113.9
559,2002-01-25,113.04,114.18,113.55,113.12
558,2002-01-24,113.32,114.25,113.58,113.64
557,2002-01-23,112.02,113.55,113.23,112.63
556,2002-01-22,112.02,113.93,112.37,113.75
555,2002-01-18,112.67,113.85,113.15,113.0
554,2002-01-17,113.4,114.24,113.67,113.76
553,2002-01-16,112.69,114.4,112.82,114.3
552,2002-01-15,113.9,115.39,115.15,114.55
551,2002-01-14,113.96,114.84,114.22,114.65
550,2002-01-11,114.7,116.28,114.94,116.21
549,2002-01-10,115.3,116.35,116.08,115.69
548,2002-01-09,115.34,117.78,115.57,116.68
547,2002-01-08,115.97,117.06,116.52,116.79
546,2002-01-07,116.56,117.99,116.79,117.7
545,2002-01-04,116.55,117.98,117.62,117.17
544,2002-01-03,115.54,116.95,116.84,115.65
543,2002-01-02,113.81,115.75,115.53,115.11
542,2001-12-31,114.23,116.39,114.3,116.15
541,2001-12-28,115.92,116.75,116.0,116.29
540,2001-12-27,115.25,116.08,116.06,115.3
539,2001-12-26,114.65,116.21,115.36,114.65
538,2001-12-24,114.61,115.04,114.73,114.83
537,2001-12-21,114.2,115.07,114.95,115.03
536,2001-12-20,114.55,115.8,114.65,115.5
535,2001-12-19,114.0,115.92,115.79,114.09
534,2001-12-18,114.34,115.15,114.98,114.63
533,2001-12-17,112.9,114.36,114.3,112.99
532,2001-12-14,112.0,113.49,113.13,112.33
531,2001-12-13,112.04,113.7,112.06,113.45
530,2001-12-12,113.11,114.78,114.28,114.55
529,2001-12-11,113.9,115.72,114.15,114.9
528,2001-12-10,114.35,116.39,114.38,115.85
527,2001-12-07,115.7,117.09,116.56,116.9
526,2001-12-06,116.93,117.94,117.34,117.34
525,2001-12-05,115.56,118.0,117.4,115.61
524,2001-12-04,113.35,115.3,115.29,113.92
523,2001-12-03,113.01,114.08,113.37,113.65
522,2001-11-30,114.02,114.91,114.05,114.4
521,2001-11-29,113.0,114.92,114.87,113.66
520,2001-11-28,113.25,115.17,113.34,114.74
519,2001-11-27,114.09,116.9,115.43,115.62
518,2001-11-26,115.07,116.34,115.93,115.75
517,2001-11-23,114.0,115.75,115.68,114.04
516,2001-11-21,113.51,114.67,114.04,114.5
515,2001-11-20,114.64,115.8,114.8,115.37
514,2001-11-19,114.45,115.85,115.77,114.92
513,2001-11-16,113.4,115.1,114.36,115.08
512,2001-11-15,113.93,115.18,114.87,114.37
511,2001-11-14,113.71,115.4,114.66,115.17
510,2001-11-13,113.18,114.55,114.55,113.44
509,2001-11-12,110.0,112.65,112.03,111.0
508,2001-11-09,111.44,112.96,112.72,112.25
507,2001-11-08,111.9,114.08,112.6,112.87
506,2001-11-07,111.64,113.12,112.25,111.77
505,2001-11-06,109.85,112.48,112.4,110.35
504,2001-11-05,109.95,111.09,110.68,110.12
503,2001-11-02,107.87,109.38,109.25,108.44
502,2001-11-01,105.7,109.01,108.51,106.6
501,2001-10-31,105.8,107.86,105.8,106.9
500,2001-10-30,105.56,107.7,106.16,107.35
499,2001-10-29,107.45,110.55,107.45,110.16
498,2001-10-26,109.67,111.79,110.32,109.95
497,2001-10-25,106.74,110.6,110.57,107.45
496,2001-10-24,108.22,109.45,108.62,108.98
495,2001-10-23,108.38,110.28,108.91,109.96
494,2001-10-22,107.21,109.57,109.47,107.3
493,2001-10-19,106.01,107.91,107.35,107.0
492,2001-10-18,106.75,108.16,107.42,107.82
491,2001-10-17,107.65,111.15,107.65,111.07
490,2001-10-16,108.95,110.61,109.99,109.8
489,2001-10-15,108.06,109.45,109.3,108.63
488,2001-10-12,107.3,109.89,109.5,109.15
487,2001-10-11,108.95,110.3,110.0,108.95
486,2001-10-10,105.52,108.55,108.32,105.8
485,2001-10-09,105.6,106.75,105.96,106.61
484,2001-10-08,105.87,107.3,106.53,106.27
483,2001-10-05,105.52,107.62,107.23,107.25
482,2001-10-04,106.75,108.97,107.44,108.29
481,2001-10-03,104.35,107.88,107.35,104.6
480,2001-10-02,103.65,105.58,105.58,104.0
479,2001-10-01,102.83,104.32,104.27,103.9
478,2001-09-28,102.5,109.62,104.44,102.98
477,2001-09-27,100.0,102.29,102.27,101.25
476,2001-09-26,100.43,102.4,101.39,102.35
475,2001-09-25,99.9,102.0,101.75,100.75
474,2001-09-24,99.06,101.16,100.7,99.72
473,2001-09-21,93.8,98.99,97.28,94.28
472,2001-09-20,98.56,101.81,98.71,100.4
471,2001-09-19,98.56,104.5,101.95,104.1
470,2001-09-18,103.36,105.3,104.05,104.33
469,2001-09-17,100.0,106.4,104.3,101.0
468,2001-09-10,107.7,110.35,110.05,107.7
467,2001-09-07,108.63,111.25,108.72,110.02
466,2001-09-06,110.77,113.3,110.77,112.65
465,2001-09-05,111.95,114.19,113.7,113.7
464,2001-09-04,113.37,116.17,113.42,113.85
463,2001-08-31,113.13,114.77,114.15,113.4
462,2001-08-30,112.04,115.74,113.32,114.85
461,2001-08-29,115.17,117.18,115.54,117.13
460,2001-08-28,116.58,118.49,116.58,118.28
459,2001-08-27,118.26,119.2,118.31,118.97
458,2001-08-24,116.74,119.13,119.02,117.21
457,2001-08-23,116.49,117.52,116.6,116.96
456,2001-08-22,115.78,117.43,117.02,116.75
455,2001-08-21,115.8,118.54,115.82,117.8
454,2001-08-20,116.55,117.9,117.83,116.8
453,2001-08-17,116.01,117.87,116.75,117.65
452,2001-08-16,117.0,118.75,118.65,117.8
451,2001-08-15,118.08,119.61,118.24,119.23
450,2001-08-14,118.8,120.35,119.27,120.14
449,2001-08-13,118.81,119.85,119.32,119.6
448,2001-08-10,117.34,119.84,119.29,118.8
447,2001-08-09,117.86,118.97,118.88,118.7
446,2001-08-08,118.43,121.16,118.53,120.12
445,2001-08-07,119.91,121.2,120.77,120.27
444,2001-08-06,120.1,121.51,120.3,121.35
443,2001-08-03,120.9,122.36,121.94,122.36
442,2001-08-02,121.89,123.25,122.61,123.23
441,2001-08-01,121.55,122.7,122.11,121.97
440,2001-07-31,120.8,122.68,121.35,121.0
439,2001-07-30,120.3,121.35,120.85,121.19
438,2001-07-27,119.91,121.35,120.81,120.83
437,2001-07-26,118.56,120.85,120.35,119.06
436,2001-07-25,117.46,119.48,119.1,117.92
435,2001-07-24,116.75,119.2,117.8,119.0
434,2001-07-23,118.95,121.88,118.95,121.8
433,2001-07-20,120.92,121.94,121.34,121.15
432,2001-07-19,120.76,122.98,122.07,122.18
431,2001-07-18,120.06,121.64,121.01,120.56
430,2001-07-17,119.83,121.95,121.84,120.2
429,2001-07-16,120.29,122.28,120.71,121.77
428,2001-07-13,120.62,122.32,122.24,120.84
427,2001-07-12,119.31,121.47,121.19,119.5
426,2001-07-11,117.09,118.89,118.38,118.1
425,2001-07-10,118.21,120.64,118.26,120.29
424,2001-07-09,119.2,120.54,119.7,119.49
423,2001-07-06,119.05,121.49,119.05,121.31
422,2001-07-05,121.66,123.65,121.68,123.07
421,2001-07-03,123.05,124.1,124.1,123.98
420,2001-07-02,122.62,124.32,124.13,122.8
419,2001-06-29,122.26,124.01,122.6,122.8
418,2001-06-28,121.93,123.94,122.15,122.0
417,2001-06-27,120.91,122.24,121.48,121.6
416,2001-06-26,120.57,122.39,121.55,120.9
415,2001-06-25,121.5,123.44,121.72,123.28
414,2001-06-22,122.16,123.59,122.85,123.49
413,2001-06-21,122.15,124.31,123.82,122.22
412,2001-06-20,121.1,122.86,122.43,121.19
411,2001-06-19,120.89,122.89,121.79,122.38
410,2001-06-18,120.91,122.44,121.26,121.65
409,2001-06-15,120.4,122.4,121.85,120.91
408,2001-06-14,121.75,124.3,122.0,124.18
407,2001-06-13,124.65,126.58,124.8,126.17
406,2001-06-12,124.04,126.74,125.88,124.86
405,2001-06-11,125.41,126.99,126.1,126.71
404,2001-06-08,126.14,127.87,127.0,127.7
403,2001-06-07,127.0,128.35,128.19,127.05
402,2001-06-06,127.36,128.83,127.73,128.83
401,2001-06-05,127.27,129.23,128.8,127.49
400,2001-06-04,126.08,127.43,127.34,126.8
399,2001-06-01,125.12,127.1,126.73,126.2
398,2001-05-31,125.26,126.76,125.95,125.43
397,2001-05-30,125.0,127.09,125.3,126.59
396,2001-05-29,126.9,128.35,127.08,128.22
395,2001-05-25,127.9,129.7,128.1,129.65
394,2001-05-24,128.55,130.0,129.63,129.47
393,2001-05-23,129.25,131.05,129.25,131.05
392,2001-05-22,131.07,132.09,131.48,131.83
391,2001-05-21,129.15,131.84,131.65,129.84
390,2001-05-18,128.1,129.74,129.74,129.09
389,2001-05-17,128.56,130.08,129.15,129.0
388,2001-05-16,124.62,129.2,128.95,124.84
387,2001-05-15,124.85,126.5,125.98,125.55
386,2001-05-14,124.46,125.44,125.4,124.9
385,2001-05-11,124.4,126.49,125.15,126.0
